wdid,name,wdLabel,source,sourceDate,pid,position,start,psid
Q105966595,Ташкулов Абдукодир Хамидович,Ташкулов Абдукодир Хамидович,,,Q110184829,,2021-01-14,Q105966595-7EF9037B-B935-4F54-823B-76333303A052
Q106165258,Джамшид Анварович Кучкаров,Джамшид Анварович Кучкаров,,,Q110184960,,2020-02-24,Q106165258-1E88A2BA-6404-4FFD-BEAC-D593CF62464A
Q106165258,Джамшид Анварович Кучкаров,Джамшид Анварович Кучкаров,,,Q110185020,,2020-01-24,Q106165258-DBEC4483-4023-4F55-BC4C-4F34427659A7
Q106171645,Тимур Аминджанович Ишметов,Тимур Аминджанович Ишметов,,,Q110184808,,2020-02-20,Q106171645-67960989-3015-45AD-B2A0-445A316E4249
Q106361482,Иброхим Юлчиевич Абдурахмонов,Иброхим Юлчиевич Абдурахмонов,,,Q110185201,,2017-11-29,Q106361482-7C4E2F44-72A5-4419-A52D-5673F0BDF658
Q106498315,"Хусанов, Нозим Бахтиёрович","Хусанов, Нозим Бахтиёрович",,,Q110184885,,2019-09-12,Q106498315-307DD153-9DA7-4BA6-AC4B-7383A8CE3201
Q106511584,"Мусаев, Бехзод Анварович","Мусаев, Бехзод Анварович",,,Q110184804,,2021-11-11,Q106511584-B5554F18-2F3C-4BC9-BAB4-558D1E448730
Q106530287,"Давлетов, Русланбек Куролтайевич","Давлетов, Русланбек Куролтайевич",,,Q110184816,,2017-08-14,Q106530287-8EE61EB3-078B-49EE-9976-1ED8B5B73447
Q106570383,"Маматов, Рахмат Тошназарович","Маматов, Рахмат Тошназарович",,,Q110185248,,2020-02-01,Q106570383-FE67FF69-5B3B-43C8-BB60-F2FF9FA6F2B3
Q106574535,"Ходжаев, Жамшид Абдухакимович","Ходжаев, Жамшид Абдухакимович",,,Q110184795,,2019-01-28,Q106574535-445D082A-4C83-459D-B48C-EAEADB6A2B2E
Q106592837,"Махкамов, Илхом Рустамович","Махкамов, Илхом Рустамович",,,Q110186797,,2021-02-22,Q106592837-4EEE1D57-0865-4CE9-BA29-FF537CF7A4D1
