@@,name,position
---,Tursinkhon Khudayberganov,Minister of Emergency Situations
---,Timur Amindzhanovich Ishmetov,Minister of Finance
---,Shuhrat Gʻaniyev,Deputy Prime Minister of Uzbekistan
---,Sherzod Shermatov,Minister of Information Technology and Communication of the Republic of Uzbekistan
---,Sherzod Hidoyatov,Minister of Housing of Uzbekistan
---,Shavkat Khamraev,Minister of Water Resources
---,Sardor Umurzakov,Deputy Prime Minister of Uzbekistan
---,Sardor Umurzakov,Minister of Investments and Foreign Trade
---,Ruslanbek Davletov,Minister of Justice
---,Rakhmat Mamatov,Minister for Support of Mahalla and Family
---,Poʻlat Bobojonov,Minister of Internal Affairs
---,Ozodbek Nazarbekov,Minister of Culture and Sports
---,Nozim Khusanov,Minister of Employment and Labour Relations of the Republic of Uzbekistan
---,Kakhraman Sariev,Chair of the Council of Ministers of the Republic of Karakalpakstan
---,Jamshid Khodjayev,Minister of Agriculture and Water Resources
---,Jamshid Anvarovich Kuchkarov,Deputy Prime Minister of Uzbekistan
---,Jamshid Anvarovich Kuchkarov,Minister of Economic Development and Poverty Reduction
---,Ilhom Mahkamov,Minister of Transport of Uzbekistan
---,Ibrokhim Yulchievich Abdurakhmonov,Minister of Innovative Development
---,Behzod Musaev,Minister of Public Health
---,Batir Zakirov,Minister of Construction
---,Bakhtiyor Saidov,Minister of Public Education of the Republic of Uzbekistan
---,Bakhodir Kurbanov,Minister of Defense
---,Aziz Abdukhakimov,Minister of Tourism and Sport of Uzbekistan
---,Aziz Abdukhakimov,Deputy Prime Minister of Uzbekistan
---,Alisher Sultanov,Minister of Energy of Uzbekistan
---,Agrippina Vasilievna Shin,Minister of Pre-School Education of Uzbekistan
---,Achilbay Ramatov,First Deputy Prime Minister of Uzbekistan
---,Abdulla Nigmatovich Aripov,Prime Minister of Uzbekistan
---,Abdulaziz Komilov,Minister of Foreign Affairs of Uzbekistan
---,Abdukodir Tashkulov,Minister of Higher Education of Uzbekistan
